Especie,Sitio1,Sitio2,Sitio3
Odo_vir,50,650,13
Syl_flo,42,12,10
Uro_cin,35,12,13
Leo_par,25,18,1
Pec_taj,10,12,2
Bas_ast,7,10,0
Mep_mac,6,11,8
Pro_lot,2,5,2
Lyn_ruf,1,1,2
Con_mes,2,1,5
Das_nov,0,2,9
Nas_nar,1,1,1
Spi_put,1,2,1
Pum_con,1,0,0
Pum_jag,1,0,1
