Especie,Sitio1,Sitio2,Sitio3
Odo_vir,125,55,67
Syl_flo,67,84,44
Uro_cin,41,32,33
Leo_par,32,28,0
Pec_taj,13,23,0
Bas_ast,7,12,0
Mep_mac,12,21,8
Pro_lot,6,5,0
Lyn_ruf,0,9,2
Con_mes,3,8,14
Das_nov,2,7,9
Nas_nar,0,1,1
Spi_put,1,1,0
